Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	All.height.median	Run	Rerun
Salix ballii	Salix.ballii	1	23	NA	0	NA	0	NA	0	23	1	2	1	1	NA	SHRUB	NA	1.2	NA	1
Salix barclayi	Salix.barclayi	1	458	1	27667	NA	0	NA	0	28125	1	1	1	1	1	"SHRUB, TREE"	NA	4.786	1	NA
Salix barrattiana	Salix.barrattiana	1	152	1	15772	NA	0	NA	0	15924	1	1	1	1	NA	SHRUB	NA	1.5	1	NA
Salix bebbiana	Salix.bebbiana	1	1222	1	1809	NA	0	NA	0	3031	1	2	1	1	1	"SHRUB, TREE"	NA	NA	1	NA
Salix berberifolia	Salix.berberifolia	1	3	1	19369	NA	0	NA	0	19372	1	2	1	1	NA	SHRUB	NA	NA	1	NA
Salix boganidensis	Salix.boganidensis	1	4	1	22466	NA	0	NA	0	22470	1	2	1	1	NA	SHRUB	NA	NA	1	NA
Salix brachycarpa	Salix.brachycarpa	1	404	1	26608	NA	0	NA	0	27012	1	2	1	1	NA	SHRUB	"NA,shrub"	1.5	1	NA
Salix burjatica	Salix.burjatica	1	907	1	27559	NA	0	NA	0	28466	1	2	1	1	1	"SHRUB, TREE"	NA	8	1	NA
Salix calcicola	Salix.calcicola	1	135	1	1217	NA	0	NA	0	1352	1	2	1	1	NA	SHRUB	NA	1.3	1	NA
Salix candida	Salix.candida	1	262	1	43059	NA	0	NA	0	43321	1	2	1	1	NA	SHRUB	NA	1	1	NA
Salix caprea	Salix.caprea	1	58706	1	106023	NA	0	NA	0	164729	1	2	1	1	1	"SHRUB, TREE"	NA	15	1	NA
Salix chamissonis	Salix.chamissonis	1	104	1	23158	NA	0	NA	0	23262	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	0.1	1	NA
Salix cordata	Salix.cordata	1	90	NA	0	NA	0	NA	0	90	1	2	1	1	NA	SHRUB	NA	3	NA	1
Salix fuscescens	Salix.fuscescens	1	434	1	48028	NA	0	NA	0	48462	1	2	1	1	NA	"SHRUB, SUBSHRUB"	shrub	3.323	1	NA
Salix glauca	Salix.glauca	1	9270	1	13704	1	485	NA	0	23459	1	1	1	1	NA	SHRUB	shrub	0.615	1	NA
Salix hastata	Salix.hastata	1	5945	1	19903	NA	0	NA	0	25848	1	2	1	1	NA	SHRUB	tree	0.9572	1	NA
Salix herbacea	Salix.herbacea	1	9379	1	17929	1	374	NA	0	27682	1	2	1	1	NA	SHRUB	shrub	0.029533334	1	NA
Salix interior	Salix.interior	1	614	1	64651	NA	0	NA	0	65265	1	2	1	1	1	"SHRUB, TREE"	NA	9	1	NA
Salix jenisseensis	Salix.jenisseensis	1	2	NA	0	NA	0	NA	0	2	1	2	1	1	NA	SHRUB	NA	NA	NA	1
Salix krylovii	Salix.krylovii	1	2	1	45658	NA	0	NA	0	45660	1	2	1	1	NA	SHRUB	NA	2.5	1	NA
Salix lanata	Salix.lanata	1	4983	1	12946	NA	0	NA	0	17929	1	1	1	1	NA	SHRUB	"NA,shrub"	0.28	1	NA
Salix lapponum	Salix.lapponum	1	4625	1	58274	NA	0	NA	0	62899	1	1	1	1	NA	SHRUB	tree	0.848992857	1	NA
Salix myrsinifolia	Salix.myrsinifolia	1	9113	1	43074	NA	0	NA	0	52187	1	1	1	1	1	"SHRUB, TREE"	NA	NA	1	NA
Salix myrsinites	Salix.myrsinites	1	3941	1	9645	NA	0	NA	0	13586	1	2	1	1	NA	SHRUB	shrub	0.215	1	NA
